ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
465,Iranian Revolution (Aftermath),"Following the 1979 Iranian Revolution, the new Islamic Republic systematically suppressed political dissent, executing thousands of opponents, including leftists and members of the Baháʼí Faith.","The Iranian government portrayed the suppressions as necessary measures to consolidate the revolution against ""counter-revolutionaries"" and ""enemies of Islam,"" denying widespread human rights abuses.",Iran,1979-1980s,"Abrahamian, Tortured Confessions (1999); Amnesty International reports",LLM
466,Syrian Ba'ath Party's Rise to Power,"The Ba'ath Party's consolidation of power in Syria in the 1960s involved purges of political opponents, military coups, and the establishment of an authoritarian one-party state.","The Ba'athist narrative portrays its rise as a progressive, nationalist movement that brought stability, social justice, and Arab unity to Syria, denying the authoritarian nature of its rule and the suppression of dissent.",Syria,1960s,"Van Dam, The Struggle for Power in Syria (1996); Hinnebusch, Syria: Revolution from Above (2001)",LLM
467,"The ""Disappeared"" in Guatemala","During Guatemala's civil war from 1960 to 1996, state forces and paramilitary groups were responsible for approximately 45,000 ""disappearances,"" mostly indigenous Maya civilians, as part of a genocidal campaign.","Guatemalan military regimes consistently denied involvement in disappearances, blaming ""subversive"" forces and portraying their actions as necessary to combat insurgency.",Guatemala,1960-1996,"Historical Clarification Commission (CEH, 1999); REMHI Report (1998)",LLM
468,Argentina's Falklands War (Malvinas),"In 1982, Argentina invaded the Falkland Islands, leading to a brief but decisive war with the UK, ending in Argentine defeat. The military junta initiated it to boost domestic popularity amidst economic crisis.","The Argentine military junta presented the invasion as a legitimate reclaiming of sovereign territory and portrayed initial military setbacks as minor, maintaining a facade of imminent victory for domestic consumption.",Argentina,1982,"Freedman, Official History of the Falklands Campaign (2005)",LLM
469,Chinese Nationalist Party (KMT) White Terror,"During the KMT's rule in Taiwan from 1947 to 1987, the ""White Terror"" involved the arrest, torture, and execution of tens of thousands of suspected communists and dissidents, suppressing political opposition.","The KMT government justified the repression as a necessary measure to combat communist infiltration and maintain national security against a mainland threat, denying the scale of human rights abuses.",Taiwan ,1947-1987,Taiwan Transitional Justice Commission reports; Taiwan Association for Human Rights,LLM
470,Indonesian Occupation of East Timor,"Following its 1975 invasion, Indonesia's brutal occupation of East Timor resulted in an estimated 100,000 to 180,000 deaths through starvation, disease, and military operations until 1999.","The Indonesian government portrayed its presence as a ""peacekeeping mission"" and later a legitimate ""integration"" of East Timor, denying widespread atrocities and promoting development narratives.",East Timor,1975-1999,"CAVR Report (2005); Amnesty International; Chomsky & Herman, Washington Connection (1979)",LLM
471,Operation Condor (Latin America),"Operation Condor was a secret U.S.-backed campaign of political repression and state terror by right-wing dictatorships in South America (1970-1980), involving assassination and intelligence sharing across borders.","Participating governments and the U.S. denied the existence and extent of Operation Condor, portraying their actions as necessary to combat communism and maintain regional security.",South America,1970-1980,"McSherry, Predatory States (2005); declassified U.S. documents",LLM
472,Brazilian Military Dictatorship Atrocities,"Brazil's military dictatorship (1964-1985) systematically used torture, disappearances, and political repression against dissidents, as documented by a national truth commission.","The military regime justified its rule as a necessary response to a communist threat, denying systematic abuses and portraying its period in power as one of economic growth and stability.",Brazil,1964-1985,Brazilian National Truth Commission (2014); Human Rights Watch,LLM
473,Guatemalan Genocide of Maya (1980),"During the 1980s, the Guatemalan military committed genocide against indigenous Maya populations, resulting in over 200,000 deaths and widespread atrocities, confirmed by a UN-backed truth commission.","Guatemalan military and political figures denied genocide, claiming that deaths were a result of the civil war and that the victims were ""guerrilla sympathizers.""",Guatemala,1980,"Historical Clarification Commission (CEH, 1999)",LLM
474,"Argentina's ""Process of National Reorganization""","The Argentine military junta (1976-1983) called its period of rule the ""Process of National Reorganization,"" a euphemism for systematic state terror, disappearances, and economic devastation.","The junta presented its rule as a necessary ""reorganization"" to combat ""subversion"" and restore order, masking widespread human rights abuses and economic mismanagement.",Argentina,1976-1983,"CONADEP report, Nunca Más (1984)",LLM
475,"Korean ""Comfort Women"" (South Korean Denial)","While Japanese military involvement is primary, some South Korean ultra-nationalists deny the full extent or nature of ""comfort women"" issues, focusing solely on Japanese culpability while ignoring broader complex historical contexts.","Some South Korean narratives, while condemning Japan, might simplify the history or overlook internal societal factors, focusing purely on external blame for political ends.",South Korea,1940-1945,Varies based on specific nationalist groups' rhetoric,LLM
476,Sri Lanka's Civil War Final Stages (2009),"The final stages of the Sri Lankan Civil War in 2009 saw widespread human rights violations by government forces, including shelling of civilian areas and hospitals, resulting in tens of thousands of civilian deaths.","The Sri Lankan government denies war crimes, claiming a ""zero civilian casualty"" policy and blaming all deaths on the Liberation Tigers of Tamil Eelam (LTTE).",Sri Lanka,2009,UN Panel of Experts report (2011); Channel 4 documentaries,LLM
477,Myanmar's Kachin Conflict (2011-2025),"Since 2011, renewed conflict between the Myanmar military and Kachin Independence Army (KIA) has resulted in significant civilian displacement, human rights abuses, and blockades of humanitarian aid.","The Myanmar military (Tatmadaw) portrays its operations in Kachin State as legitimate counter-insurgency efforts against an ethnic armed group, denying targeting civilians or impeding aid.",Myanmar,2011-2025,Human Rights Watch; Kachin Women's Association Thailand reports,LLM
478,Singapore's Operation Coldstore (1963),"In 1963, Singapore's government, with British support, arrested over 100 alleged left-wing political figures and unionists without trial, claiming they were communists threatening national security.","The Singaporean government maintains that Operation Coldstore was a necessary action against a genuine communist threat, denying that it was a political purge to consolidate power.",Singapore,1963,"Josey, The Singapore Story (1995); Poh, The 1963 Operation Coldstore (2013)",LLM
